match_id,team_id,team_name,player_id,player_name,points,assists,steals,turnovers,rebounds
MATCH-001,TEAM-A,Falcons,P001,Noah Carter,24,7,2,3,9
MATCH-001,TEAM-A,Falcons,P002,Liam Brooks,18,5,1,2,11
MATCH-001,TEAM-A,Falcons,P003,Ethan Reed,15,8,3,4,6
MATCH-001,TEAM-A,Falcons,P004,Mason Gray,12,3,2,1,7
MATCH-001,TEAM-A,Falcons,P005,Lucas Hill,9,6,1,2,4
MATCH-001,TEAM-A,Falcons,P006,Owen Scott,7,2,0,1,8
MATCH-001,TEAM-B,Wolves,P007,James Cole,28,6,3,2,10
MATCH-001,TEAM-B,Wolves,P008,Henry Young,19,9,2,5,7
MATCH-001,TEAM-B,Wolves,P009,Jack Turner,16,4,1,3,12
MATCH-001,TEAM-B,Wolves,P010,Leo Adams,13,5,2,2,5
MATCH-001,TEAM-B,Wolves,P011,Daniel King,11,7,1,1,6
MATCH-001,TEAM-B,Wolves,P012,Samuel Baker,8,2,1,0,9
